image,original_split,sample_kind,scene_group,assigned_split,objects,class_counts
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,train,official,sat:01-pan-20240418-318-232-l00000010061,validation,2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,train,official,sat:01-pan-20240418-318-232-l00000010061,validation,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,2,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop5.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,4,"[0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop6.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop7.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,11,"[0, 0, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop8.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,5,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop9.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,5,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
/root/autodl-tmp/TZB2026_RS-CalYOLO26x/data_v2/images/train/01-PAN-20240420-113-325-L00000010882-CCD3_6_crop1.jpg,train,official,sat:01-pan-20240420-113-325-l00000010882,validation,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
