source_label,annotated_class,vision_verdict,evidence,review_priority,crop_image
02-PAN-20250323-442-303-L00000000287-CCD6_2_crop1.txt,HM,DDG/FFG(驱护舰),甲板狭长无飞行甲板;舰岛小;无舰载机,high,tmp_ship_samples/cls_0/001_02-PAN-20250323-442-303-L00000000287-CCD6_2_crop1.png
E139.6_N35.3_20160202_L1A0001384774-PAN12_crop1.txt,HM,大型民船/油轮,甲板平直无斜角;无舰载机无武器,high,tmp_ship_samples/cls_0/004_E139.6_N35.3_20160202_L1A0001384774-PAN12_crop1.png
E139.7_N35.2_20170112_L1A0002115142-PAN23_crop6.txt,HM,民用货轮/运输船,舰岛小;无舰载机;无武器,high,tmp_ship_samples/cls_0/008_E139.7_N35.2_20170112_L1A0002115142-PAN23_crop6.png
01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.txt,LQS,DDG/FFG(驱护舰),甲板非全通;中部凸起;无直升机坪,high,tmp_ship_samples/cls_1/001_01-PAN-20240420-113-325-L00000010882-CCD4_5_crop1.png
01-PAN-20250210-441-302-L00000100998-CCD25_6_crop2.txt,LQS,DDG/FFG(驱护舰),甲板非全通;无直升机坪;无坞舱,high,tmp_ship_samples/cls_1/003_01-PAN-20250210-441-302-L00000100998-CCD25_6_crop2.png
02-PAN-20250405-013-430-L00000001339-CCD26_4_crop1.txt,LQS,DDG/FFG(驱护舰),甲板非全通;中部凸起;舰岛居中偏前,high,tmp_ship_samples/cls_1/006_02-PAN-20250405-013-430-L00000001339-CCD26_4_crop1.png
02-PAN-20250405-013-430-L00000001339-CCD26_4_crop3.txt,LQS,航空母舰,全通甲板;舰岛大且结构复杂;船体方正,high,tmp_ship_samples/cls_1/008_02-PAN-20250405-013-430-L00000001339-CCD26_4_crop3.png
E139.6_N35.3_20160202_L1A0001384774-PAN19_crop1.txt,LQS,民用货船/运输舰,甲板非全通;无直升机坪;无坞舱,high,tmp_ship_samples/cls_1/011_E139.6_N35.3_20160202_L1A0001384774-PAN19_crop1.png
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.txt,LQS,改装民船/特种运输舰,甲板非全通;大型棚状物;无直升机坪,high,tmp_ship_samples/cls_1/016_W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.png
W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.txt,LQS,集装箱船,甲板非全通;上层建筑居中占宽;无坞舱,high,tmp_ship_samples/cls_1/017_W117.1_N32.6_20180715_L1A0003325477-PAN26_crop1.png
W117.1_N32.6_20180715_L1A0003325477-PAN28_crop1.txt,LQS,集装箱船,甲板非全通;中部凸起;无直升机坪,high,tmp_ship_samples/cls_1/018_W117.1_N32.6_20180715_L1A0003325477-PAN28_crop1.png
W157.9_N21.3_20150119_L1A0000600031-PAN28_crop1.txt,LQS,大型民船/油轮,甲板非全通;无直升机坪;舰岛大而突出,high,tmp_ship_samples/cls_1/021_W157.9_N21.3_20150119_L1A0000600031-PAN28_crop1.png
01-PAN-20250328-462-374-L00000101101-CCD22_3_crop3.txt,QHS,民用货船/运输舰,甲板狭长;无武器;无突出结构,medium,tmp_ship_samples/cls_2/000_01-PAN-20250328-462-374-L00000101101-CCD22_3_crop3.png
E139.6_N35.3_20170312_L1A0002233573-PAN12_crop2.txt,QHS,民用货船/运输舰,甲板狭长;舰岛不显;无武器,medium,tmp_ship_samples/cls_2/001_E139.6_N35.3_20170312_L1A0002233573-PAN12_crop2.png
E128.0_N26.3_20180531_L1A0003228719-PAN20_crop1.txt,QHS,小型民船/近海作业船,甲板狭长;无武器;无装甲带,medium,tmp_ship_samples/cls_2/002_E128.0_N26.3_20180531_L1A0003228719-PAN20_crop1.png
01-PAN-20250328-462-374-L00000101101-CCD22_2_crop1.txt,QHS,巡逻艇/民用工作船,甲板狭长;装备简陋;无武器,medium,tmp_ship_samples/cls_2/003_01-PAN-20250328-462-374-L00000101101-CCD22_2_crop1.png
02-PAN-20250321-455-304-L00000000227-CCD7_2_crop2.txt,QHS,民船/工程辅助船,甲板狭长;菱形图案;无武器,medium,tmp_ship_samples/cls_2/004_02-PAN-20250321-455-304-L00000000227-CCD7_2_crop2.png
