priority,split,type,cls_gt,cls_pred,conf,iou,image,box
HIGH,train,candidate_miss,-,MS,0.9199,0.2548,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,"[35.4, 646.9, 61.8, 749.3]"
HIGH,train,candidate_miss,-,MS,0.886,0.0,01-PAN-20250407-456-303-L00000100049-CCD6_6_crop1.jpg,"[247.1, 11.4, 419.7, 78.2]"
HIGH,train,candidate_miss,-,FSC,0.885,0.2986,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[313.6, 352.7, 344.4, 389.5]"
HIGH,train,candidate_miss,-,MS,0.8775,0.0,01-PAN-20250407-456-301-L00000100047-CCD1_5_crop5.jpg,"[381.0, 293.5, 531.0, 356.6]"
HIGH,train,candidate_miss,-,MS,0.8636,0.0,01-PAN-20250328-462-375-L00000101102-CCD20_1_crop3.jpg,"[463.2, 291.8, 808.4, 570.4]"
HIGH,train,candidate_mislabel,MS,QHS,0.8588,0.7619,01-PAN-20240424-146-260-L00000010815-CCD32_3_crop1.jpg,"[165.1, 120.0, 261.0, 330.8]"
HIGH,train,candidate_miss,-,FSC,0.8457,0.0695,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[167.1, 460.5, 199.2, 495.5]"
HIGH,train,candidate_miss,-,MS,0.837,0.0,01-PAN-20250328-462-375-L00000101102-CCD20_1_crop3.jpg,"[139.3, 573.0, 481.4, 852.0]"
HIGH,train,candidate_miss,-,MS,0.8214,0.0,02-PAN-20250403-466-364-L00000001478-CCD18_3_crop2.jpg,"[776.0, 186.8, 821.0, 325.8]"
HIGH,train,candidate_miss,-,FSC,0.8079,0.0,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[871.2, 179.2, 900.0, 222.9]"
HIGH,train,candidate_miss,-,MS,0.8078,0.0,01-PAN-20250210-441-302-L00000100998-CCD24_1_crop4.jpg,"[566.8, 0.0, 654.3, 119.9]"
HIGH,train,candidate_miss,-,MS,0.8019,0.0,01-PAN-20250404-320-230-L00000098919-CCD6_4_crop3.jpg,"[0.0, 0.0, 84.7, 61.7]"
HIGH,train,candidate_miss,-,MS,0.7756,0.1873,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,"[0.0, 657.6, 18.0, 767.2]"
HIGH,train,candidate_miss,-,FSC,0.7614,0.0,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[129.9, 427.2, 163.3, 455.8]"
HIGH,train,candidate_miss,-,MS,0.7546,0.0,02-PAN-20250321-455-304-L00000000227-CCD15_4_crop1.jpg,"[757.5, 482.4, 855.4, 849.6]"
HIGH,train,candidate_mislabel,MS,QHS,0.692,0.8337,E139.7_N35.3_20170121_L1A0002135991-PAN12_crop2.jpg,"[130.4, 0.1, 320.2, 147.7]"
HIGH,train,candidate_miss,-,QHS,0.6833,0.0,E139.6_N35.3_20170312_L1A0002233573-PAN11_crop5.jpg,"[145.8, 323.4, 231.5, 348.4]"
HIGH,train,candidate_miss,-,MS,0.6828,0.0,01-PAN-20240514-449-309-L00000012646-CCD13_2_crop2.jpg,"[149.4, 738.4, 430.5, 860.8]"
HIGH,train,candidate_miss,-,MS,0.6802,0.0,E139.7_N35.3_20170121_L1A0002135991-PAN12_crop8.jpg,"[0.0, 682.0, 25.4, 771.7]"
HIGH,train,candidate_miss,-,FSC,0.674,0.0,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[19.9, 689.6, 44.0, 731.2]"
HIGH,train,candidate_miss,-,MS,0.6663,0.0,02-PAN-20250405-013-428-L00000001337-CCD29_1_crop9.jpg,"[444.8, 91.0, 516.5, 131.5]"
HIGH,train,candidate_miss,-,QHS,0.615,0.2387,01-PAN-20250328-462-375-L00000101102-CCD19_1_crop1.jpg,"[573.5, 14.6, 739.8, 208.4]"
HIGH,train,candidate_miss,-,MS,0.6077,0.0,02-PAN-20250403-149-295-L00000001224-CCD16_3_crop4.jpg,"[404.2, 199.1, 575.0, 343.7]"
HIGH,train,candidate_miss,-,QHS,0.5817,0.0,E139.7_N35.2_20150922_L1A0001053752-PAN23_crop1.jpg,"[0.1, 65.5, 27.2, 202.6]"
HIGH,train,candidate_miss,-,QHS,0.5729,0.0,E139.6_N35.3_20170122_L1A0002138611-PAN11_crop1.jpg,"[527.1, 749.8, 714.6, 813.0]"
HIGH,train,candidate_miss,-,MS,0.5706,0.0,02-PAN-20250321-455-302-L00000000225-CCD3_2_crop3.jpg,"[593.1, 0.0, 733.2, 69.0]"
HIGH,train,candidate_miss,-,QHS,0.5692,0.0,E139.6_N35.3_20170122_L1A0002138611-PAN11_crop5.jpg,"[838.5, 496.0, 856.0, 620.0]"
HIGH,train,candidate_miss,-,MS,0.5482,0.0,02-PAN-20250403-149-295-L00000001224-CCD16_3_crop2.jpg,"[0.5, 713.6, 143.1, 788.5]"
HIGH,train,candidate_miss,-,MS,0.5474,0.0,02-PAN-20250321-455-304-L00000000227-CCD8_2_crop8.jpg,"[143.9, 0.0, 326.7, 47.1]"
HIGH,train,candidate_miss,-,FSC,0.5407,0.0,fsc_TG-N25.20-E121.42-lv20-Google_crop0001.jpg,"[2.5, 638.6, 38.1, 662.3]"
HIGH,train,candidate_miss,-,MS,0.5077,0.0,01-PAN-20250405-061-362-L00000099505-CCD22_2_crop2.jpg,"[190.1, 773.3, 293.7, 826.8]"
HIGH,train,candidate_miss,-,MS,0.5044,0.0,02-PAN-20250330-461-284-L00000000744-CCD23_4_crop4.jpg,"[0.0, 339.6, 53.0, 458.5]"
HIGH,train,candidate_miss,-,MS,0.4996,0.0,01-PAN-20240515-001-331-L00000012635-CCD19_3_crop3.jpg,"[0.0, 200.2, 42.1, 311.8]"
HIGH,train,candidate_miss,-,MS,0.4968,0.0,01-PAN-20250407-456-304-L00000100050-CCD14_4_crop3.jpg,"[0.1, 503.4, 43.1, 543.0]"
HIGH,train,candidate_miss,-,MS,0.476,0.0,01-PAN-20250407-456-304-L00000100050-CCD6_1_crop2.jpg,"[31.6, 0.0, 159.1, 42.6]"
HIGH,train,candidate_miss,-,MS,0.4633,0.0,01-PAN-20240513-456-301-L00000012440-CCD1_5_crop11.jpg,"[28.5, 267.5, 83.5, 363.9]"
HIGH,train,candidate_miss,-,MS,0.4628,0.2518,01-PAN-20250328-462-374-L00000101101-CCD21_5_crop11.jpg,"[0.0, 221.4, 16.9, 334.5]"
HIGH,train,candidate_miss,-,FSC,0.4528,0.0,MAR20_438.jpg,"[111.9, 577.7, 129.2, 605.6]"
HIGH,train,candidate_miss,-,MS,0.4376,0.2164,01-PAN-20240423-029-368-L00000011028-CCD29_4_crop1.jpg,"[35.9, 642.4, 60.5, 732.4]"
HIGH,train,candidate_miss,-,MS,0.4354,0.0,01-PAN-20250406-463-326-L00000099680-CCD14_2_crop1.jpg,"[695.9, 360.4, 828.4, 466.1]"
HIGH,train,candidate_miss,-,MS,0.4271,0.0009,E120.2_N14.7_20161023_L1A0001910573-PAN19_crop1.jpg,"[670.2, 373.6, 890.8, 541.5]"
HIGH,train,candidate_miss,-,MS,0.4198,0.0844,02-PAN-20250405-013-430-L00000001339-CCD20_3_crop1.jpg,"[405.4, 3.3, 670.4, 568.3]"
HIGH,train,candidate_miss,-,MS,0.4193,0.0,E139.6_N35.4_20180420_L1A0003133739-PAN15_crop5.jpg,"[94.2, 0.0, 129.6, 24.0]"
HIGH,train,candidate_mislabel,MS,QHS,0.4084,0.9723,E139.7_N35.2_20150922_L1A0001053752-PAN23_crop5.jpg,"[691.1, 124.4, 813.0, 184.2]"
HIGH,train,candidate_miss,-,MS,0.3936,0.0,E139.7_N35.3_20170121_L1A0002135991-PAN13_crop4.jpg,"[625.3, 712.5, 688.6, 785.6]"
HIGH,train,candidate_miss,-,MS,0.3879,0.0,01-PAN-20250328-462-374-L00000101101-CCD20_6_crop9.jpg,"[734.2, 45.1, 802.0, 286.2]"
HIGH,train,candidate_miss,-,MS,0.3853,0.0,E139.7_N35.3_20170121_L1A0002135991-PAN10_crop1.jpg,"[341.3, 0.0, 487.8, 32.1]"
HIGH,train,candidate_miss,-,MS,0.3783,0.0,02-PAN-20250405-013-428-L00000001337-CCD29_1_crop9.jpg,"[0.0, 0.0, 13.6, 61.5]"
HIGH,train,candidate_miss,-,MS,0.3712,0.0992,01-PAN-20250328-462-375-L00000101102-CCD21_1_crop1.jpg,"[554.8, 274.2, 641.4, 367.7]"
HIGH,train,candidate_miss,-,MS,0.3697,0.0,01-PAN-20240514-449-311-L00000012648-CCD22_2_crop3.jpg,"[103.0, 560.3, 186.4, 740.7]"
HIGH,train,candidate_miss,-,MS,0.3682,0.0,02-PAN-20250402-255-354-L00000001127-CCD8_5_crop3.jpg,"[767.2, 732.1, 872.0, 806.5]"
HIGH,train,candidate_mislabel,MS,LQS,0.359,0.8401,E139.7_N35.3_20170121_L1A0002135991-PAN12_crop2.jpg,"[131.7, 0.3, 323.3, 148.0]"
HIGH,train,candidate_miss,-,MS,0.3569,0.0,01-PAN-20240513-456-305-L00000012444-CCD15_4_crop3.jpg,"[749.4, 54.0, 834.0, 376.9]"
HIGH,train,candidate_mislabel,MS,LQS,0.2364,0.9529,E139.6_N35.4_20180420_L1A0003133739-PAN12_crop2.jpg,"[762.8, 348.2, 883.0, 532.5]"
HIGH,train,candidate_mislabel,MS,QHS,0.2119,0.8087,02-PAN-20250323-442-303-L00000000287-CCD6_2_crop1.jpg,"[769.0, 325.2, 868.9, 526.7]"
HIGH,train,candidate_mislabel,MS,QHS,0.1907,0.9677,01-PAN-20250328-462-374-L00000101101-CCD21_4_crop1.jpg,"[94.6, 682.0, 197.5, 734.3]"
HIGH,train,candidate_mislabel,MS,QHS,0.1022,0.8949,E139.7_N35.3_20170121_L1A0002135991-PAN12_crop2.jpg,"[77.1, 0.0, 252.7, 130.0]"
HIGH,val,candidate_mislabel,QHS,MS,0.9176,0.9121,W157.9_N21.3_20160709_L1A0001690055-PAN20_crop3.jpg,"[135.0, 252.2, 197.1, 351.4]"
HIGH,val,candidate_mislabel,QHS,MS,0.901,0.9368,W76.3_N37.0_20150318_L1A0000704021-PAN20_crop1.jpg,"[595.9, 471.0, 670.0, 800.0]"
HIGH,val,candidate_miss,-,MS,0.8874,0.0,01-PAN-20240513-456-304-L00000012443-CCD5_2_crop1.jpg,"[93.6, 641.2, 183.1, 838.4]"
HIGH,val,candidate_mislabel,QHS,MS,0.885,0.8025,W76.3_N37.0_20150318_L1A0000704021-PAN27_crop3.jpg,"[577.5, 182.9, 651.3, 511.3]"
HIGH,val,candidate_miss,-,MS,0.8809,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN22_crop5.jpg,"[282.4, 722.8, 327.5, 794.5]"
HIGH,val,candidate_mislabel,MS,QHS,0.8786,0.7711,01-PAN-20240513-456-304-L00000012443-CCD7_3_crop7.jpg,"[622.9, 492.7, 737.9, 670.6]"
HIGH,val,candidate_miss,-,MS,0.8774,0.2581,02-PAN-20250329-087-336-L00000000675-CCD18_6_crop1.jpg,"[68.6, 0.0, 325.8, 168.5]"
HIGH,val,candidate_miss,-,MS,0.8737,0.0,01-PAN-20240513-456-304-L00000012443-CCD5_2_crop4.jpg,"[571.9, 249.8, 659.2, 458.5]"
HIGH,val,candidate_miss,-,MS,0.8724,0.0,01-PAN-20240511-152-202-L00000012357-CCD23_5_crop2.jpg,"[0.0, 232.2, 66.5, 378.0]"
HIGH,val,candidate_miss,-,MS,0.8611,0.0,01-PAN-20240513-456-304-L00000012443-CCD7_4_crop2.jpg,"[572.2, 86.9, 681.4, 272.7]"
HIGH,val,candidate_miss,-,MS,0.8586,0.0,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop1.jpg,"[16.2, 191.7, 162.9, 423.1]"
HIGH,val,candidate_mislabel,QHS,MS,0.8425,0.6777,W76.3_N37.0_20150318_L1A0000704021-PAN27_crop3.jpg,"[697.5, 192.3, 769.6, 567.4]"
HIGH,val,candidate_mislabel,QHS,MS,0.8424,0.8512,01-PAN-20240513-456-304-L00000012443-CCD15_3_crop1.jpg,"[698.6, 715.4, 812.1, 864.0]"
HIGH,val,candidate_mislabel,QHS,MS,0.8369,0.8074,W76.3_N37.0_20150318_L1A0000704021-PAN20_crop1.jpg,"[713.0, 480.5, 791.8, 855.2]"
HIGH,val,candidate_mislabel,HM,QHS,0.8263,0.5191,W157.9_N21.3_20160709_L1A0001690055-PAN23_crop4.jpg,"[67.4, 0.0, 272.9, 162.8]"
HIGH,val,candidate_miss,-,MS,0.8123,0.0,01-PAN-20250118-471-374-L00000075006-CCD18_4_crop1.jpg,"[736.0, 181.4, 852.6, 248.8]"
HIGH,val,candidate_miss,-,MS,0.8029,0.1376,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop4.jpg,"[374.0, 336.0, 444.8, 569.3]"
HIGH,val,candidate_mislabel,MS,QHS,0.7848,0.5789,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop2.jpg,"[677.1, 0.0, 790.1, 146.1]"
HIGH,val,candidate_mislabel,MS,QHS,0.7826,0.8605,E103.9_N1.2_20200419_L1A0004749016-PAN21_crop3.jpg,"[253.1, 749.4, 457.0, 820.0]"
HIGH,val,candidate_miss,-,MS,0.76,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN26_crop6.jpg,"[744.3, 0.0, 859.3, 42.0]"
HIGH,val,candidate_miss,-,MS,0.7578,0.0,01-PAN-20240513-456-304-L00000012443-CCD7_3_crop2.jpg,"[517.7, 754.7, 629.3, 810.1]"
HIGH,val,candidate_miss,-,MS,0.7458,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN26_crop1.jpg,"[264.6, 350.5, 363.9, 398.5]"
HIGH,val,candidate_miss,-,MS,0.7137,0.0,02-PAN-20250329-087-337-L00000000676-CCD18_1_crop2.jpg,"[302.4, 813.6, 435.4, 846.8]"
HIGH,val,candidate_miss,-,MS,0.7042,0.0,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop3.jpg,"[0.1, 599.0, 75.0, 669.9]"
HIGH,val,candidate_mislabel,MS,QHS,0.6942,0.8877,E127.9_N26.4_20170304_L1A0002218828-PAN14_crop2.jpg,"[565.4, 714.0, 668.7, 795.5]"
HIGH,val,candidate_mislabel,MS,QHS,0.6733,0.8634,01-PAN-20240513-456-304-L00000012443-CCD7_3_crop1.jpg,"[144.0, 353.7, 209.5, 487.8]"
HIGH,val,candidate_miss,-,MS,0.6607,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN25_crop19.jpg,"[377.5, 439.4, 464.3, 560.9]"
HIGH,val,candidate_miss,-,MS,0.6602,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN25_crop25.jpg,"[599.0, 546.4, 688.9, 673.0]"
HIGH,val,candidate_miss,-,MS,0.6378,0.0,01-PAN-20240430-104-336-L00000011523-CCD23_4_crop1.jpg,"[408.5, 0.3, 487.8, 222.6]"
HIGH,val,candidate_mislabel,QHS,MS,0.6352,0.5725,W76.3_N37.0_20150318_L1A0000704021-PAN20_crop3.jpg,"[197.6, 599.3, 403.1, 771.6]"
HIGH,val,candidate_mislabel,MS,QHS,0.6325,0.6272,W157.9_N21.3_20160709_L1A0001690055-PAN23_crop3.jpg,"[243.4, 398.6, 448.5, 544.4]"
HIGH,val,candidate_miss,-,FSC,0.5961,0.0,fsc_TG-N22.33-E120.62-lv20-Bing_crop0004.jpg,"[863.6, 627.5, 900.0, 679.2]"
HIGH,val,candidate_miss,-,MS,0.5838,0.1428,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop7.jpg,"[117.6, 653.3, 174.5, 743.7]"
HIGH,val,candidate_mislabel,QHS,MS,0.5816,0.8339,W157.9_N21.3_20160709_L1A0001690055-PAN23_crop4.jpg,"[556.4, 771.1, 622.5, 870.8]"
HIGH,val,candidate_mislabel,MS,QHS,0.5749,0.9022,E103.9_N1.2_20200419_L1A0004749016-PAN25_crop6.jpg,"[2.1, 76.7, 184.5, 268.8]"
HIGH,val,candidate_miss,-,MS,0.5697,0.0,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop10.jpg,"[403.5, 443.3, 631.3, 638.2]"
HIGH,val,candidate_miss,-,MS,0.5579,0.0,01-PAN-20240511-152-202-L00000012357-CCD23_5_crop2.jpg,"[310.3, 606.0, 421.2, 715.5]"
HIGH,val,candidate_mislabel,MS,QHS,0.5307,0.8397,W76.3_N37.0_20150318_L1A0000704021-PAN20_crop3.jpg,"[154.1, 541.7, 350.1, 707.9]"
HIGH,val,candidate_miss,-,MS,0.5299,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN22_crop5.jpg,"[383.9, 637.8, 415.5, 700.8]"
HIGH,val,candidate_mislabel,MS,QHS,0.4765,0.9033,01-PAN-20240513-456-304-L00000012443-CCD7_3_crop8.jpg,"[209.5, 48.4, 259.3, 159.4]"
HIGH,val,candidate_miss,-,MS,0.4756,0.279,01-PAN-20240513-456-304-L00000012443-CCD6_2_crop7.jpg,"[520.8, 482.3, 572.2, 613.5]"
HIGH,val,candidate_miss,-,QHS,0.4561,0.0,01-PAN-20240513-456-304-L00000012443-CCD15_3_crop1.jpg,"[667.6, 0.0, 745.1, 62.3]"
HIGH,val,candidate_miss,-,MS,0.4288,0.0,01-PAN-20240511-152-202-L00000012357-CCD23_5_crop2.jpg,"[302.9, 69.5, 433.2, 107.0]"
HIGH,val,candidate_miss,-,MS,0.4238,0.0,E103.9_N1.2_20200419_L1A0004749016-PAN22_crop6.jpg,"[791.4, 169.4, 829.6, 252.9]"
HIGH,val,candidate_miss,-,MS,0.4237,0.0,01-PAN-20240513-456-304-L00000012443-CCD15_3_crop8.jpg,"[783.4, 628.1, 806.0, 733.0]"
HIGH,val,candidate_miss,-,MS,0.3674,0.2088,01-PAN-20240513-456-304-L00000012443-CCD7_4_crop2.jpg,"[502.0, 0.0, 652.0, 246.5]"
HIGH,val,candidate_miss,-,QHS,0.365,0.0,01-PAN-20240513-456-304-L00000012443-CCD15_3_crop3.jpg,"[0.0, 0.0, 178.9, 42.7]"
HIGH,val,candidate_mislabel,LQS,QHS,0.3322,0.6844,01-PAN-20240513-456-304-L00000012443-CCD15_3_crop4.jpg,"[310.6, 832.6, 476.4, 859.0]"
HIGH,val,candidate_mislabel,QHS,MS,0.1952,0.8922,W76.3_N37.0_20150318_L1A0000704021-PAN27_crop2.jpg,"[371.6, 117.3, 576.0, 295.7]"
HIGH,val,candidate_mislabel,QHS,MS,0.1928,0.8474,W76.3_N37.0_20150318_L1A0000704021-PAN27_crop3.jpg,"[655.1, 185.3, 721.8, 572.1]"
HIGH,val,candidate_mislabel,MS,QHS,0.1455,0.8778,01-PAN-20240423-439-569-L00000011168-CCD16_5_crop1.jpg,"[54.3, 546.4, 295.1, 688.7]"
HIGH,val,candidate_mislabel,QHS,MS,0.1239,0.624,W157.9_N21.3_20160709_L1A0001690055-PAN23_crop4.jpg,"[0.0, 696.8, 20.3, 854.1]"
HIGH,val,candidate_mislabel,MS,QHS,0.1142,0.6883,W157.9_N21.3_20160709_L1A0001690055-PAN23_crop3.jpg,"[231.0, 386.5, 452.9, 558.4]"
HIGH,val,candidate_mislabel,MS,QHS,0.1129,0.8726,01-PAN-20240513-456-304-L00000012443-CCD7_3_crop9.jpg,"[669.5, 139.8, 733.1, 276.0]"
