class_id,class_name,gt,base_threshold,base_tp,base_fp,base_fn,base_predictions,optimized_threshold,optimized_tp,optimized_fp,optimized_fn,optimized_predictions,delta_tp,delta_fp,delta_fn
3,MS,278,0.001,262,972,16,1234,0.17,239,38,39,277,-23,-934,23
2,QHS,92,0.001,82,306,10,388,0.464,55,11,37,66,-27,-295,27
17,A14_KC-135,165,0.001,165,158,0,323,0.702,159,5,6,164,-6,-153,6
19,A16_FA-18,186,0.001,186,154,0,340,0.234,183,3,3,186,-3,-151,3
22,A19_SU-34,63,0.001,62,142,1,204,0.84,58,5,5,63,-4,-137,4
5,A2_C-130,148,0.001,148,138,0,286,0.384,145,5,3,150,-3,-133,3
16,A13_F-15,145,0.001,142,130,3,272,0.332,124,4,21,128,-18,-126,18
18,A15_F-22,51,0.001,51,121,0,172,0.479,44,16,7,60,-7,-105,7
1,LQS,7,0.001,4,105,3,109,0.145,4,2,3,6,0,-103,0
6,A3_C-17,101,0.001,101,102,0,203,0.392,101,10,0,111,0,-92,0
8,A5_F-16,74,0.001,74,98,0,172,0.013,74,11,0,85,0,-87,0
11,A8_B-52,100,0.001,100,79,0,179,0.62,100,0,0,100,0,-79,0
4,A1_SU-35,120,0.001,119,127,1,246,0.005,119,64,1,183,0,-63,0
21,A18_KC-10,54,0.001,54,60,0,114,0.073,54,2,0,56,0,-58,0
20,A17_TU-95,100,0.001,98,54,2,152,0.906,98,1,2,99,0,-53,0
7,A4_C-5,53,0.001,53,46,0,99,0.014,53,1,0,54,0,-45,0
13,A10_B-1B,81,0.001,81,55,0,136,0.011,81,12,0,93,0,-43,0
9,A6_TU-160,38,0.001,38,40,0,78,0.887,38,0,0,38,0,-40,0
12,A9_P-3C,74,0.001,74,57,0,131,0.019,74,18,0,92,0,-39,0
15,A12_TU-22,33,0.001,33,34,0,67,0.149,33,0,0,33,0,-34,0
24,FSC,45,0.001,20,40,25,60,0.004,20,9,25,29,0,-31,0
10,A7_E-3,56,0.001,55,23,1,78,0.011,55,1,1,56,0,-22,0
0,HM,2,0.001,2,54,0,56,0.002,2,33,0,35,0,-21,0
14,A11_E-8,39,0.001,38,67,1,105,0.001,38,67,1,105,0,0,0
23,A20_SU-24,58,0.001,50,52,8,102,0.001,50,52,8,102,0,0,0
