round,class_id,threshold,tp,fp,fn,gt_total,prediction_count,recall,precision,fdr
0,,0.001,2092,3214,71,2163,5306,0.967175219602404,0.39427063701470033,0.6057293629852997
1,3,0.17,2069,2280,94,2163,4349,0.9565418400369856,0.47574154978155897,0.524258450218441
2,2,0.464,2042,1985,121,2163,4027,0.9440591770688858,0.507077228706233,0.49292277129376705
3,19,0.234,2039,1834,124,2163,3873,0.9426722145168747,0.5264652723986574,0.47353472760134263
4,17,0.702,2033,1681,130,2163,3714,0.9398982894128525,0.5473882606354334,0.4526117393645665
5,22,0.84,2029,1544,134,2163,3573,0.938049006010171,0.5678701371396585,0.43212986286034144
6,5,0.384,2026,1411,137,2163,3437,0.93666204345816,0.5894675589176608,0.41053244108233927
7,16,0.332,2008,1285,155,2163,3293,0.9283402681460934,0.6097783176434862,0.39022168235651383
8,1,0.145,2008,1182,155,2163,3190,0.9283402681460934,0.6294670846394984,0.3705329153605016
9,18,0.479,2001,1077,162,2163,3078,0.9251040221914009,0.6500974658869396,0.34990253411306044
10,6,0.392,2001,985,162,2163,2986,0.9251040221914009,0.6701272605492298,0.3298727394507703
11,8,0.013,2001,898,162,2163,2899,0.9251040221914009,0.6902380131079683,0.3097619868920317
12,11,0.62,2001,819,162,2163,2820,0.9251040221914009,0.7095744680851064,0.2904255319148936
13,4,0.005,2001,756,162,2163,2757,0.9251040221914009,0.7257889009793254,0.27421109902067464
14,21,0.073,2001,698,162,2163,2699,0.9251040221914009,0.7413856984068173,0.25861430159318266
15,20,0.906,2001,645,162,2163,2646,0.9251040221914009,0.7562358276643991,0.2437641723356009
16,7,0.014,2001,600,162,2163,2601,0.9251040221914009,0.7693194925028836,0.2306805074971165
17,13,0.011,2001,557,162,2163,2558,0.9251040221914009,0.7822517591868647,0.21774824081313526
18,9,0.887,2001,517,162,2163,2518,0.9251040221914009,0.7946783161239078,0.20532168387609215
19,12,0.019,2001,478,162,2163,2479,0.9251040221914009,0.8071803146430012,0.19281968535699878
20,15,0.149,2001,444,162,2163,2445,0.9251040221914009,0.8184049079754602,0.18159509202453988
21,24,0.004,2001,413,162,2163,2414,0.9251040221914009,0.8289146644573322,0.17108533554266778
22,10,0.011,2001,391,162,2163,2392,0.9251040221914009,0.8365384615384616,0.16346153846153846
23,0,0.002,2001,370,162,2163,2371,0.9251040221914009,0.8439477013918179,0.1560522986081822
