epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.704,1.19747,5.79618,0.00729,0.53217,0.43891,0.38942,0.26652,1.17152,3.37267,0.00785,0.000114768,0.000114768,0.000114768
2,435.323,1.19026,2.10279,0.00731,0.5597,0.50509,0.52269,0.36028,1.22584,2.04358,0.00891,0.000227873,0.000227873,0.000227873
3,648.311,1.2013,1.57895,0.00732,0.53938,0.57117,0.56947,0.39599,1.22095,1.57888,0.00839,0.000339079,0.000339079,0.000339079
4,867.349,1.17965,1.38389,0.00735,0.63015,0.58751,0.64862,0.46217,1.12929,1.30961,0.0078,0.000336461,0.000336461,0.000336461
5,1079.89,1.16118,1.21372,0.00717,0.6643,0.70386,0.70166,0.50271,1.14694,1.11044,0.00788,0.000333615,0.000333615,0.000333615
6,1292.51,1.15936,1.07297,0.00724,0.72364,0.64572,0.72371,0.51828,1.09073,1.06271,0.00735,0.000330769,0.000330769,0.000330769
7,1504.95,1.09461,0.95016,0.00676,0.75724,0.71431,0.77256,0.54631,1.14775,0.96142,0.008,0.000327922,0.000327922,0.000327922
8,1717.58,1.10471,0.924,0.00684,0.77462,0.73886,0.79835,0.56175,1.17931,0.89499,0.00827,0.000325076,0.000325076,0.000325076
9,1930.21,1.07855,0.85283,0.00658,0.79596,0.72492,0.7883,0.56911,1.08706,0.88155,0.00738,0.00032223,0.00032223,0.00032223
10,2142.59,1.06872,0.85613,0.00656,0.8796,0.75053,0.80701,0.5855,1.09236,0.80137,0.00742,0.000319384,0.000319384,0.000319384
11,2354.99,1.06868,0.7977,0.00663,0.77673,0.78339,0.79462,0.57639,1.09402,0.90816,0.00741,0.000316537,0.000316537,0.000316537
12,2567.06,1.03243,0.76903,0.0063,0.77933,0.67578,0.75252,0.54715,1.07347,0.96342,0.00711,0.000313691,0.000313691,0.000313691
13,2779.64,1.02344,0.73758,0.00635,0.871,0.75756,0.83088,0.62165,1.02589,0.76634,0.00687,0.000310845,0.000310845,0.000310845
14,2992.49,1.01129,0.68419,0.00621,0.8196,0.74086,0.79687,0.59256,1.04631,0.82709,0.00714,0.000307999,0.000307999,0.000307999
15,3204.11,1.01193,0.68206,0.00615,0.83812,0.76651,0.82838,0.61201,1.04373,0.72588,0.00702,0.000305152,0.000305152,0.000305152
16,3415.54,0.99882,0.65851,0.00606,0.78851,0.78016,0.82854,0.62021,1.04809,0.75972,0.00724,0.000302306,0.000302306,0.000302306
17,3626.85,0.98531,0.63832,0.00597,0.80578,0.73056,0.78401,0.59599,0.99463,0.84244,0.00664,0.00029946,0.00029946,0.00029946
18,3838.3,0.97656,0.64148,0.00592,0.81605,0.76801,0.80127,0.60919,1.01049,0.7523,0.00693,0.000296614,0.000296614,0.000296614
19,4049.97,0.97134,0.60031,0.00583,0.86716,0.77057,0.82883,0.61576,1.0322,0.71531,0.00691,0.000293768,0.000293768,0.000293768
